HPI,GDP,Continent,year
55.15297812,3379.75,Asia,2019
54.73393391,13653.75,Asia,2019
54.46704074,4753.73,Asia,2019
54.14126925,6998.77,Asia,2019
53.70421002,5253.67,Asia,2019
53.21580638,18350.59,Asia,2019
53.05560432,3416.79,Asia,2019
51.03309375,13724.06,Asia,2019
50.96889516,13022,Asia,2019
48.03454046,14402.46,Asia,2019
47.88454788,39029.73,Asia,2019
47.78103944,14922.15,Asia,2019
46.8144963,40828.06,Asia,2019
46.79711602,13078.1,Asia,2019
46.57431406,31965.33,Asia,2019
46.21227471,29968.58,Asia,2019
46.20843547,28845.29,Asia,2019
45.44647998,32639.51,Asia,2019
45.10544179,4690.48,Asia,2019
45.0226049,33226.27,Asia,2019
44.2727762,14993.12,Asia,2019
43.85874421,16660.45,Asia,2019
42.88780952,19249.29,Asia,2019
41.33038029,21602.7,Asia,2019
40.90280442,12810.29,Asia,2019
40.13077545,23265.62,Asia,2019
38.64493232,26351.8,Asia,2019
36.85726815,37181,Asia,2019
36.67282917,11832.19,Asia,2019
36.37213182,6700.06,Asia,2019
34.92504653,27043.94,Asia,2019
34.44290255,36947.71,Asia,2019
34.14497266,30965.45,Asia,2019
32.95738249,30965.45,Asia,2019
55.36071427,3234.72,Asia,2018
50.36376199,12714.96,Asia,2018
49.73475272,4441.42,Asia,2018
53.99254102,6755.48,Asia,2018
50.47203196,5133.15,Asia,2018
51.20114469,17508.53,Asia,2018
49.16969376,3252.74,Asia,2018
50.82174031,13366.3,Asia,2018
50.60364962,12363.15,Asia,2018
48.00791652,14209.65,Asia,2018
45.80267268,38089.54,Asia,2018
47.66868461,14432.68,Asia,2018
46.92872321,40053.77,Asia,2018
48.48710561,12864.61,Asia,2018
45.93018711,31283.76,Asia,2018
47.63387338,28616.6,Asia,2018
45.52398626,27888.57,Asia,2018
43.36861131,14257.08,Asia,2018
45.27590392,16147.73,Asia,2018
39.36753199,18885.24,Asia,2018
43.28636699,20752.62,Asia,2018
40.52097817,12338,Asia,2018
40.57941736,22279.36,Asia,2018
36.66047233,25544.34,Asia,2018
38.76514251,35540.65,Asia,2018
40.29637313,6496.81,Asia,2018
35.12681073,26667.73,Asia,2018
35.34342274,35320.47,Asia,2018
35.22580922,30131.98,Asia,2018
31.54055353,2033.78,Asia,2018
57.71557999,3089.53,Asia,2017
44.36779447,12115.06,Asia,2017
48.37629207,4161.09,Asia,2017
55.20577972,6518.8,Asia,2017
52.55963878,5046.69,Asia,2017
45.65771779,16664.06,Asia,2017
48.3830935,3099.31,Asia,2017
47.91756054,12811.76,Asia,2017
48.90989304,11651.32,Asia,2017
47.88077778,14121.41,Asia,2017
45.7815681,36622.2,Asia,2017
42.94081871,13797.79,Asia,2017
45.65914911,38948.86,Asia,2017
47.70705693,12584.1,Asia,2017
46.43715015,30189.4,Asia,2017
48.53868715,27230.52,Asia,2017
44.18255747,26885.66,Asia,2017
47.57198268,29559.21,Asia,2017
55.05779695,4571.41,Asia,2017
45.00138843,30160.49,Asia,2017
42.56177598,13589.71,Asia,2017
35.68789318,24862.97,Asia,2017
39.49106761,33869.74,Asia,2017
42.02997103,6185.99,Asia,2017
35.44718967,26005.98,Asia,2017
35.73640942,33964.31,Asia,2017
36.98340444,28741.48,Asia,2017
32.28019195,14205.02,Asia,2017
31.46323232,2058.38,Asia,2017
60.10465034,68390.71,Europe,2019
55.96785254,46702.98,Europe,2019
54.94941705,56809.97,Europe,2019
52.73131728,53810.57,Europe,2019
52.3355153,40936.22,Europe,2019
51.81547019,46112.96,Europe,2019
51.2716938,48802.89,Europe,2019
51.14850813,86826.34,Europe,2019
50.87519275,64962.26,Europe,2019
50.69761829,42416.42,Europe,2019
50.50051612,52642.32,Europe,2019
49.4183661,39544.68,Europe,2019
48.81002762,30463.04,Europe,2019
47.95688519,55699.72,Europe,2019
46.81302886,56011.61,Europe,2019
46.26293284,34904.69,Europe,2019
45.32635001,57862.28,Europe,2019
43.5028292,43585.36,Europe,2019
42.53497245,51830.75,Europe,2019
31.72336953,114304.04,Europe,2019
58.07155554,68246.4,Europe,2018
55.74683502,46290.12,Europe,2018
54.01096098,56239.96,Europe,2018
52.49810705,53634.14,Europe,2018
52.89059426,40441.27,Europe,2018
51.17811753,45488.65,Europe,2018
51.18811549,48303.36,Europe,2018
49.8516289,83388.72,Europe,2018
50.21740314,64655.69,Europe,2018
51.21839408,42187.82,Europe,2018
49.38821142,52516.45,Europe,2018
50.52531122,38822.49,Europe,2018
53.1166972,55264.57,Europe,2017
